LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
83,10400,1Fam,7,5,2,0,6,1961,912,4,GasA,Y,520,0,2006,122900.57400587
108,9612,1Fam,9,5,2,1,9,2002,1436,3,GasA,Y,1766,0,2006,271982.725979079
75,9098,1Fam,5,6,2,0,7,1972,1416,2,GasA,Y,1144,0,2009,184772.368429996
51,9042,1Fam,6,5,2,0,7,1930,1056,4,GasA,Y,1639,0,2006,155952.622190732
0,9020,1Fam,7,6,1,0,10,1961,3200,4,GasA,Y,2646,0,2007,274491.270045107
114,13006,1Fam,5,4,1,0,7,2000,777,3,GasA,Y,1786,0,2006,196757.473320048
56,11670,1Fam,7,5,3,1,6,2007,1113,3,GasA,Y,1369,0,2010,246883.711800792
79,7244,1Fam,6,6,1,1,5,1997,1128,2,GasA,Y,2466,0,2006,216417.765660489
81,9765,TwnhsE,7,4,2,0,7,1953,672,2,GasA,Y,1291,0,2009,143925.16437316
70,10570,1Fam,5,7,1,0,6,2003,1144,3,GasA,Y,1501,0,2006,135724.41374684
0,9100,1Fam,6,5,2,1,5,2004,520,4,GasA,Y,2090,0,2008,183274.895339781
82,10005,1Fam,3,9,3,0,6,2003,912,3,GasA,Y,825,0,2009,152172.268672985
75,1526,1Fam,6,5,2,0,4,1965,0,4,GasA,Y,1306,0,2008,131770.970437537
0,7930,1Fam,5,5,2,0,5,2007,910,3,GasA,Y,1802,0,2007,181927.468971693
60,9750,1Fam,4,5,1,0,4,1925,1144,3,GasA,Y,2775,0,2007,188578.772182837
75,46589,1Fam,4,5,1,1,7,1922,729,3,GasA,Y,1680,0,2007,173484.608526773
50,5000,1Fam,5,6,1,1,6,1925,1008,3,GasA,Y,1446,0,2009,94534.0183740855
62,10500,1Fam,8,3,1,0,7,1956,783,3,GasA,Y,1800,0,2009,180390.516436858
21,12099,1Fam,7,5,2,1,6,1931,384,2,GasA,Y,1440,0,2010,151794.044361201
50,12257,1Fam,9,5,1,1,12,1971,702,3,GasA,Y,2158,0,2006,304769.077734239
60,9790,1Fam,8,5,2,1,3,1966,1092,4,GasA,N,1121,0,2010,166637.537835641
51,1890,1Fam,5,7,1,1,7,1918,1181,2,GasA,Y,2612,0,2008,155499.911180418
59,12003,1Fam,6,7,1,1,7,1930,3094,3,GasA,Y,1077,0,2006,173697.225674799
21,14587,2fmCon,9,5,1,0,7,1929,1686,3,GasA,Y,2144,0,2008,304383.70657458
0,9020,1Fam,5,5,2,0,6,2008,105,3,GasA,Y,1048,0,2006,147004.05003728
78,14200,TwnhsE,7,5,1,1,6,1992,849,2,GasA,Y,1800,0,2009,229831.25359665
107,5119,1Fam,7,5,2,0,6,1954,1266,2,GasA,Y,1212,0,2009,144726.530690034
62,10200,2fmCon,4,5,1,0,8,1998,811,2,GasA,Y,2034,0,2009,148803.66835888
80,6762,1Fam,7,5,1,0,8,1972,384,2,GasA,Y,1080,0,2007,112553.146529634
35,10386,1Fam,6,5,2,0,7,1936,1686,4,GasA,Y,1949,0,2009,209973.030642667
70,8366,1Fam,7,5,1,0,5,1953,1869,2,GasA,Y,1470,0,2010,146132.86321216
60,10927,1Fam,5,5,1,0,7,1974,1436,3,GasA,Y,1928,0,2009,188922.590042034
0,15660,1Fam,7,3,0,0,9,1972,1253,2,GasA,Y,1252,0,2008,158614.588974758
50,1680,1Fam,9,5,2,0,4,2005,1008,4,GasA,Y,1262,0,2006,201725.799204507
97,8500,1Fam,5,6,1,0,7,1957,856,2,GasA,Y,1563,0,2010,165824.61360078
92,12155,1Fam,5,8,2,1,6,1923,996,2,GasA,Y,1652,0,2009,157165.168023045
88,7259,1Fam,7,5,1,1,7,2004,1003,4,GasA,Y,1317,0,2010,168206.833062907
60,11500,TwnhsE,5,5,2,0,7,2003,728,3,GasA,Y,1375,0,2007,167907.237255795
65,9100,1Fam,6,5,1,0,7,1940,561,1,GasA,Y,1040,0,2006,137749.089011455
21,4058,1Fam,7,5,2,1,7,2000,926,3,GasA,Y,960,0,2009,139102.297943219
60,18450,1Fam,6,7,1,0,7,2005,773,3,GasA,Y,1301,0,2010,154876.537541759
53,9600,Twnhs,6,6,2,0,7,1961,1833,1,GasA,Y,858,0,2008,168471.435339932
51,9180,1Fam,6,7,2,1,7,2005,1385,3,GasA,Y,767,0,2009,135270.799845436
141,17600,TwnhsE,6,5,2,1,8,1946,689,3,GasA,Y,3112,0,2007,200992.104189237
105,12456,1Fam,6,5,2,0,6,1997,2444,3,GasA,Y,1003,0,2006,239274.08743604
0,7200,1Fam,7,5,2,0,10,1990,660,3,GasA,Y,1113,0,2007,158346.494539861
96,12205,1Fam,6,6,2,0,4,1925,979,3,GasA,Y,1208,0,2010,113057.547673353
50,6000,1Fam,4,6,1,1,8,2005,540,4,GasA,Y,1632,0,2007,206199.741209332
100,7800,TwnhsE,6,5,3,0,10,2004,2109,3,GasA,Y,1920,0,2007,215904.229719463
78,3604,1Fam,7,6,2,1,5,1970,1566,2,GasA,Y,1159,0,2009,181494.774607478
60,7200,1Fam,8,5,1,0,6,1963,715,4,GasA,Y,1269,0,2008,161640.336624713
0,8536,1Fam,6,7,2,0,10,2005,1470,2,GasA,Y,2730,0,2008,245530.801838152
59,2572,1Fam,8,5,2,0,6,2007,744,4,GasA,Y,1560,0,2010,191493.86089511
91,21535,1Fam,5,5,2,0,8,1976,483,4,GasA,Y,1215,0,2006,136025.072628953
0,8765,1Fam,7,5,2,0,7,1958,1517,3,GasA,N,1473,0,2006,145337.909308162
75,11782,1Fam,6,5,2,1,10,2002,1276,2,GasA,Y,2192,0,2006,203925.720040838
71,2289,1Fam,6,7,1,0,8,1976,1670,2,GasA,Y,1577,0,2007,167707.76600324
0,15611,TwnhsE,5,5,2,1,6,1990,1204,2,GasA,N,1217,0,2010,179845.162085566
48,9450,1Fam,5,8,1,0,9,1946,1050,2,GasA,Y,2531,0,2008,183722.436648225
0,11426,1Fam,6,5,2,1,7,1954,1125,4,GasA,Y,1547,0,2007,134075.220118103
60,7851,1Fam,5,5,2,0,6,2003,1561,2,GasA,Y,1961,0,2007,210345.896798667
65,8000,1Fam,5,5,1,1,8,1954,1161,3,GasA,Y,848,0,2008,125105.133777148
0,4274,1Fam,5,5,1,0,4,1975,1116,4,GasA,Y,840,0,2009,126684.140803896
106,10628,1Fam,5,5,1,0,6,1964,1138,2,GasA,N,1317,0,2009,119611.290481683
70,9855,TwnhsE,8,5,1,1,7,1998,1379,2,GasA,Y,1362,0,2009,223763.990657055
60,7500,1Fam,7,5,1,0,7,2007,1391,2,GasA,N,1616,0,2007,221433.601177759
24,7000,1Fam,5,8,1,0,5,2005,702,3,GasA,Y,1445,0,2009,113623.082294788
0,8281,2fmCon,4,8,1,1,5,1972,1100,3,GasA,Y,1328,0,2008,132393.530586892
60,12800,1Fam,4,5,2,1,5,2007,725,2,GasA,Y,2172,0,2009,186928.638841047
79,9945,1Fam,8,6,2,1,7,2005,864,4,GasA,Y,2576,0,2009,327692.097138082
60,16635,Duplex,5,5,1,0,8,1981,849,3,GasA,Y,816,0,2009,132657.417126202
122,14762,1Fam,5,7,1,1,8,1970,943,3,GasA,Y,1477,0,2008,156761.821671772
141,10667,1Fam,5,6,1,1,5,1960,953,2,GasA,Y,1458,0,2008,168155.258676944
0,10200,1Fam,5,7,1,1,7,1969,1214,3,GasA,Y,1940,0,2009,165009.990066698
0,2268,Duplex,6,5,2,1,7,1951,1350,3,GasA,Y,1752,0,2006,127165.85567151
51,10355,1Fam,10,6,2,0,6,1965,1144,2,GasA,Y,1342,0,2010,217800.388843497
75,12803,1Fam,5,5,1,0,6,1970,1709,2,GasA,Y,981,0,2007,170604.256769047
80,7200,1Fam,7,5,1,1,7,1996,723,3,GasA,Y,1150,0,2006,184564.146405479
63,10400,1Fam,7,5,2,0,6,2004,990,3,GasA,Y,1908,0,2010,222471.679722343
55,25095,1Fam,6,5,2,1,7,1959,736,3,GasA,Y,1073,0,2006,123515.227086962
75,10400,1Fam,5,5,1,0,4,2004,1028,3,GasA,Y,894,0,2008,126458.029610397
82,11553,1Fam,8,6,1,1,7,1986,983,3,GasA,Y,1573,0,2007,193450.863648174
50,3072,1Fam,8,7,2,0,6,1918,672,3,GasA,Y,1224,0,2007,148545.73544571
66,10896,1Fam,8,5,1,0,8,2005,864,3,GasA,Y,1040,0,2008,199930.326533178
65,7227,1Fam,8,6,1,1,5,1880,750,2,GasA,Y,2704,0,2006,199662.708106232
70,9320,1Fam,6,5,2,0,8,1982,1466,2,GasA,Y,1344,0,2006,217730.082052254
30,8400,TwnhsE,5,5,1,0,4,1970,1650,3,GasA,Y,1496,0,2007,163328.91548917
66,6762,Duplex,6,5,1,0,5,2004,1050,2,GasA,Y,1960,0,2009,140837.730652478
79,9600,TwnhsE,5,5,1,0,8,2007,483,3,GasA,Y,1118,0,2009,150965.428026566
24,6240,1Fam,6,6,1,0,6,1951,816,3,GasA,Y,1520,0,2007,122378.056258404
0,14963,TwnhsE,9,5,1,0,10,1956,2153,1,GasA,Y,907,0,2006,343778.909135405
57,1300,Duplex,5,5,1,0,5,1970,641,3,GasA,Y,999,0,2008,110938.658620404
0,13284,1Fam,7,5,2,0,4,1958,689,2,GasA,Y,1120,0,2008,132649.239988348
56,13695,1Fam,8,5,1,0,6,2004,721,1,GasA,Y,1954,0,2007,261461.34498833
50,9084,1Fam,4,5,1,0,7,2009,1470,3,GasA,Y,848,0,2010,172652.002452672
110,10200,1Fam,7,5,1,0,6,2004,672,2,GasA,Y,1680,0,2006,185580.268325743
35,8658,1Fam,6,6,2,0,7,1920,672,4,GasA,Y,2020,0,2010,152986.586703222
108,8475,1Fam,6,7,2,1,5,1993,1602,2,GasA,Y,1044,0,2007,199403.419254718
100,9600,1Fam,7,5,2,0,8,1963,920,4,GasA,Y,1336,0,2008,175106.259966305
52,15611,1Fam,4,7,1,1,7,2003,928,3,GasA,Y,1680,0,2007,151894.851434154
61,8600,Twnhs,8,5,1,1,9,1990,1235,3,GasA,Y,1368,0,2009,221204.627923166
87,10140,Duplex,7,9,2,1,5,1957,824,4,GasA,Y,1661,0,2010,193718.092082481
95,11475,1Fam,5,6,2,0,6,2000,672,2,GasA,Y,2520,0,2006,201331.511978859
70,7861,1Fam,5,5,2,0,4,1928,780,3,GasA,Y,1428,0,2007,108263.187030636
50,10335,1Fam,8,5,1,0,6,2004,1028,3,GasA,Y,884,0,2007,224604.101771416
76,7018,1Fam,7,5,1,0,7,1880,948,3,GasA,Y,1978,0,2009,173130.73861241
0,6240,1Fam,7,5,1,0,7,1939,1144,2,GasA,Y,1108,0,2008,176723.915882849
84,14154,Twnhs,7,5,2,0,10,1995,1470,0,GasA,Y,1714,0,2006,280029.857327023
75,4590,Duplex,6,5,2,0,8,2005,1060,3,GasA,Y,1872,0,2010,150437.288707735
80,7931,1Fam,4,5,1,1,8,1954,1436,4,GasA,Y,2287,0,2008,162766.459199609
79,1680,Duplex,7,5,1,1,6,2006,880,2,GasA,Y,1414,0,2006,171163.259413956
60,8800,1Fam,5,5,2,0,9,1965,1114,3,GasA,Y,1029,0,2006,146276.993596108
60,8755,1Fam,7,5,1,0,7,1980,780,3,GasA,Y,1309,0,2007,137248.971946655
100,10041,1Fam,6,5,2,0,7,1969,864,4,GasA,Y,1040,0,2008,130520.416451338
72,8480,1Fam,6,5,2,0,5,1953,1128,3,GasA,Y,1620,0,2008,168015.162032227
0,8544,1Fam,6,5,2,0,7,2004,1051,3,GasA,Y,1100,0,2010,165012.873229136
75,11250,1Fam,4,7,1,0,6,1956,728,3,GasA,Y,2031,0,2008,167399.943392604
78,7920,1Fam,5,7,1,1,5,1934,1017,2,GasA,Y,1790,0,2009,181839.382357753
110,7800,TwnhsE,5,5,2,0,10,1998,864,2,GasA,Y,1470,0,2007,218866.857542418
0,10800,1Fam,5,6,1,0,5,2004,1482,2,GasA,Y,1756,0,2008,217399.704049457
0,13005,1Fam,7,5,2,0,5,1977,684,4,GasA,Y,2082,0,2010,225667.682733552
79,10400,1Fam,6,6,2,0,6,1971,747,2,GasA,Y,1301,0,2009,114592.00724536
0,5062,1Fam,9,5,1,0,6,1969,702,3,GasA,Y,1337,0,2009,167610.103819861
75,9187,1Fam,5,5,2,0,6,1997,953,3,GasA,Y,1456,0,2009,178609.009654892
80,7032,1Fam,8,5,1,1,6,1982,1768,3,GasA,Y,1739,0,2009,288829.737128848
64,16033,1Fam,6,5,2,0,7,2004,1164,3,GasA,Y,1577,0,2007,170675.917369993
80,8320,1Fam,7,5,1,0,5,2009,0,1,GasA,Y,1296,0,2009,210071.444852168
60,10380,1Fam,6,5,2,1,6,1949,572,3,GasW,Y,1208,0,2007,123120.880066577
96,7200,1Fam,8,5,1,0,6,1959,795,3,GasA,Y,854,0,2006,135427.465458591
49,7000,1Fam,7,5,1,1,10,2007,991,3,GasA,Y,1839,0,2009,221410.976187227
86,12886,1Fam,7,5,1,0,7,2004,1040,2,GasA,Y,2078,0,2007,259641.86777632
58,7590,1Fam,5,5,1,0,5,2007,776,1,GasA,Y,1494,0,2008,144709.588849891
65,7136,TwnhsE,4,5,2,1,10,1912,980,2,GasA,Y,943,0,2007,106645.365620045
100,3604,1Fam,6,5,2,0,3,2003,1396,3,GasA,Y,1714,0,2006,176745.542845118
0,13474,Duplex,6,5,2,0,9,1971,1431,3,Grav,Y,1626,0,2007,171521.096741611
0,10150,1Fam,8,5,2,1,6,1916,1225,3,GasA,Y,1110,0,2009,208944.283280404
60,16059,Duplex,5,5,1,0,7,1900,847,3,GasA,Y,1691,0,2010,137371.076926031
83,10652,2fmCon,5,6,2,0,6,1916,1164,2,GasA,Y,1097,0,2007,114011.750327598
74,5232,1Fam,9,5,2,1,9,1940,1117,3,GasA,Y,902,0,2009,175446.953439756
70,7861,1Fam,5,5,1,0,12,2000,1800,3,GasA,Y,3222,0,2007,240673.883862663
50,8100,1Fam,6,7,1,1,10,1971,858,3,GasA,Y,1541,0,2009,176146.202681116
60,7200,Duplex,5,7,2,0,5,1977,1905,4,GasA,Y,2291,0,2007,162992.688552851
44,8475,TwnhsE,6,5,2,0,7,1920,1414,3,GasA,Y,2013,0,2010,178112.172259578
72,18386,1Fam,7,5,1,1,5,2000,1001,3,GasA,Y,1728,0,2010,219423.896281806
66,13478,1Fam,8,5,1,1,9,1892,1057,3,GasA,Y,1721,0,2009,162695.974736824
52,7800,1Fam,7,8,2,1,6,1972,728,5,GasA,N,1392,0,2008,161688.808549782
68,8125,1Fam,3,8,1,1,11,1949,832,3,GasA,N,1054,0,2007,106765.71964206
41,9101,1Fam,4,7,2,0,7,1958,1424,4,GasA,Y,2087,0,2009,194593.881649457
76,14559,1Fam,7,6,2,0,6,2003,1040,3,GasA,Y,1392,0,2010,144486.790630106
62,9675,1Fam,7,5,1,1,6,1954,1649,3,GasA,Y,1855,0,2009,237361.299511359
0,10793,Twnhs,6,5,2,1,6,1954,1650,4,GasA,Y,2320,0,2006,204625.339742689
41,7175,TwnhsE,7,7,1,0,4,1940,732,2,GasA,Y,1728,0,2006,153658.424566306
60,4224,1Fam,8,6,1,0,4,1984,1541,3,GasA,Y,4316,0,2008,346189.01439822
0,6993,TwnhsE,6,6,1,1,9,1999,780,1,GasA,Y,1950,0,2009,179767.377239177
0,13159,Twnhs,6,7,2,0,6,2005,1030,3,GasA,Y,1056,0,2008,165803.328659233
75,11333,1Fam,4,6,3,1,6,1957,483,3,GasA,Y,1348,0,2007,146577.667919359
85,10000,1Fam,7,5,2,0,8,1920,1084,3,GasA,Y,1752,0,2010,189719.35652758
0,16669,1Fam,9,7,1,0,11,1928,896,3,GasA,Y,1301,0,2008,258801.068214847
86,6768,TwnhsE,5,5,2,0,5,2002,1098,2,GasA,Y,2020,0,2009,203775.527955522
80,7200,1Fam,6,5,2,1,5,1988,1121,2,GasA,Y,1072,0,2008,125485.938522883
85,13284,1Fam,5,7,1,0,4,1971,894,3,GasA,Y,1489,0,2006,178906.175054
45,7750,1Fam,5,5,2,0,5,2005,384,2,GasA,Y,1224,0,2009,180796.624792206
60,6930,1Fam,5,4,2,0,6,2004,1266,3,GasA,N,2229,0,2009,162911.78213497
67,10846,TwnhsE,7,5,1,0,8,1957,1868,2,GasA,Y,1442,0,2006,177325.090929919
59,6960,1Fam,5,6,2,1,6,1963,861,2,GasA,N,1308,0,2009,98507.5807788273
55,17140,1Fam,6,6,1,0,6,1961,1029,2,GasA,Y,1252,0,2006,160717.093323589
53,8405,2fmCon,8,5,2,0,8,1953,813,3,GasA,Y,965,0,2006,174410.703961237
43,10593,1Fam,5,8,2,0,6,1953,1844,3,GasA,N,1510,0,2009,158839.760562257
70,21780,2fmCon,3,6,1,1,6,1997,864,3,GasA,Y,1086,0,2008,150949.152965877
0,6600,1Fam,7,7,1,1,7,1971,955,4,GasA,Y,951,0,2010,141095.191914844
0,2651,1Fam,5,4,1,0,7,1995,1563,3,GasA,Y,1796,0,2008,194819.031158105
79,10007,1Fam,7,7,2,0,10,1978,864,3,GasA,Y,2417,0,2009,267685.865274517
64,9100,TwnhsE,7,5,2,1,5,1952,715,3,GasA,Y,1839,0,2008,196795.604363114
0,10570,1Fam,7,5,2,0,5,1925,1149,3,GasA,N,2730,0,2006,240204.083258165
47,9571,Twnhs,7,9,1,1,6,1977,1181,3,GasA,Y,825,0,2007,153527.798880111
0,11409,1Fam,7,5,1,0,5,2003,1484,3,GasA,Y,1471,0,2007,200806.391905899
134,11787,1Fam,7,5,1,0,9,1990,1244,3,GasA,Y,1204,0,2010,206512.137878234
95,10005,1Fam,4,5,2,0,5,2005,1064,2,GasA,Y,1442,0,2007,160018.122750074
65,7851,1Fam,6,6,2,0,8,2002,1164,2,GasA,Y,1165,0,2007,184754.730211333
91,8400,1Fam,5,6,2,1,10,1916,1494,3,GasA,Y,952,0,2007,112019.006666933
70,8760,1Fam,6,5,1,1,4,2000,960,3,GasA,Y,1034,0,2006,151084.906137129
66,10800,1Fam,5,6,2,0,7,1958,816,1,GasA,Y,1094,0,2006,119082.520364204
0,10656,1Fam,5,5,1,1,8,1970,1389,3,GasA,Y,1203,0,2008,132646.41195064
60,9196,1Fam,5,5,1,0,6,1996,728,3,GasA,Y,1111,0,2008,145669.387677466
79,14115,Twnhs,5,5,2,1,6,1920,530,3,GasA,Y,1960,0,2009,158316.627730331
75,7990,1Fam,7,6,2,1,5,1954,689,3,GasA,Y,1548,0,2006,198585.909129907
60,8121,1Fam,7,5,1,0,6,1916,804,1,GasA,Y,1973,0,2008,174431.786541144
72,9525,1Fam,6,5,2,0,5,2004,991,3,GasA,Y,1220,0,2008,194664.726013245
24,7758,1Fam,8,5,1,0,7,2000,483,3,GasA,Y,2270,0,2007,219152.942250565
70,11600,Duplex,6,5,2,0,6,1972,654,3,GasA,Y,2192,0,2008,176134.081480441
0,8246,Twnhs,5,6,2,0,7,1882,1056,3,GasA,Y,1547,0,2009,153246.872446658
90,8123,1Fam,5,5,2,1,6,1940,860,2,GasA,Y,2138,0,2006,143584.30241617
91,10625,1Fam,8,5,2,0,5,1958,686,4,GasA,Y,1034,0,2007,166105.624826119
65,10140,1Fam,6,6,3,0,10,1959,720,3,GasA,Y,864,0,2007,93623.5184667555
75,11228,TwnhsE,5,5,2,0,7,2006,1040,3,GasA,Y,1376,0,2007,132057.890806631
137,1526,1Fam,7,6,1,1,6,1955,680,4,GasA,Y,1224,0,2009,125292.808953931
67,9236,1Fam,8,5,2,0,10,1954,768,3,GasA,Y,1855,0,2010,206207.666610228
91,8004,1Fam,6,5,2,1,6,1986,1572,2,GasA,N,1756,0,2007,211473.316775469
0,8740,1Fam,8,5,2,1,10,2004,1086,2,GasA,Y,1707,0,2010,216969.93000949
50,7134,1Fam,8,5,2,1,6,1976,1431,3,GasA,Y,792,0,2007,203740.062664126
0,8064,1Fam,6,6,2,0,6,2004,1368,6,GasA,Y,1200,0,2007,183065.062717064
90,10762,1Fam,6,5,1,0,7,1959,896,4,GasA,Y,1790,0,2010,92851.8816056344
70,9200,1Fam,7,7,2,0,8,1965,650,1,GasA,Y,1181,0,2007,126384.541458522
60,8012,1Fam,6,5,2,1,5,1997,1145,3,GasA,Y,912,0,2008,131502.783646653
60,12692,1Fam,6,8,2,1,6,1880,864,3,GasA,Y,1269,0,2006,143387.017164052
75,10800,TwnhsE,6,5,2,1,4,2000,1258,3,GasA,Y,2097,0,2008,198518.551937261
74,4251,1Fam,6,5,2,0,6,1925,504,4,GasA,Y,1116,0,2007,73291.8581112565
83,14450,1Fam,7,5,1,0,7,1980,1606,1,GasA,Y,1218,0,2009,204392.355818173
24,10000,TwnhsE,6,5,1,0,7,1923,983,1,GasA,Y,912,0,2006,72698.2177308171
86,4750,TwnhsE,5,5,2,0,7,1970,816,3,GasA,Y,1039,0,2008,75530.2307353282
92,9291,1Fam,7,5,2,1,8,1915,747,2,GasA,Y,1576,0,2007,137569.314218416
80,5500,1Fam,7,6,2,0,6,1923,864,3,GasA,Y,848,0,2006,151325.368987494
74,4928,1Fam,8,5,2,0,5,1996,1187,3,GasA,Y,1092,0,2008,147919.054424925
60,9450,1Fam,5,6,2,0,10,1970,1390,4,GasA,Y,1041,0,2006,140720.44445623
24,4435,1Fam,9,5,1,0,4,1953,644,4,GasA,Y,1344,0,2009,210429.26358311
67,1890,1Fam,4,7,2,0,7,1941,660,3,GasA,Y,1200,0,2009,76303.0245885262
66,8760,1Fam,6,7,2,1,9,1946,1187,3,GasA,Y,1336,0,2006,155830.759170798
150,14559,1Fam,6,5,1,0,6,1932,1032,2,GasA,Y,1258,0,2009,162359.925675039
55,9297,1Fam,7,3,1,1,7,1959,560,3,GasW,Y,970,0,2007,106044.190910424
60,11200,1Fam,7,8,2,0,5,1935,636,4,GasA,Y,1978,0,2010,222069.804745307
60,11851,1Fam,7,5,2,0,9,1999,1314,3,GasA,Y,943,0,2008,130931.984726523
50,9550,2fmCon,10,5,1,1,6,2008,993,4,GasA,Y,1217,0,2007,206044.554782258
74,8544,1Fam,7,6,2,0,6,1980,1314,6,GasA,Y,1512,0,2008,212367.630195662
0,11553,Twnhs,5,7,2,0,8,2008,1698,3,GasA,Y,1743,0,2009,206532.564539423
71,8004,1Fam,4,5,2,0,3,1998,720,3,GasA,Y,1192,0,2007,122099.655545215
72,14963,1Fam,6,5,2,1,11,1941,1008,1,GasA,Y,2624,0,2006,202615.716649861
49,7024,2fmCon,5,7,2,0,6,1957,1078,3,GasA,Y,1306,0,2006,136323.749197962
0,10437,1Fam,6,5,1,0,7,1979,952,3,GasA,Y,768,0,2007,128037.010573605
60,7200,1Fam,4,7,3,1,8,1945,576,3,GasA,Y,912,0,2008,98586.5148739634
32,70761,1Fam,6,7,2,0,7,2007,1385,3,GasA,Y,1456,0,2008,200370.319636797
70,5604,1Fam,6,7,1,0,6,2000,616,3,GasA,Y,1180,0,2010,146730.442730536
0,8366,1Fam,5,6,1,1,7,1925,1444,4,GasA,Y,971,0,2007,132090.556355187
70,10637,2fmCon,5,4,1,0,10,1892,1040,2,GasA,Y,1456,0,2007,104733.170432646
80,7588,1Fam,5,7,2,0,7,1940,1273,4,GasA,N,1644,0,2010,146108.280959638
60,8600,1Fam,5,8,1,1,6,1930,600,3,GasA,Y,1414,0,2010,138402.560713104
