id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,result,GreaterThanHalf
202,0,0,0,0,0,0,1,0,0,0,0,n
203,0,1,1,1,1,1,1,1,1,1,1,y
204,0,1,1,0,0,0,1,1,1,1,1,y
205,0,0,0,1,1,1,1,0,0,0,0,n
206,1,1,0,0,0,0,1,0,0,0,0,n
207,1,1,1,1,0,1,0,0,1,1,1,y
208,1,0,1,1,1,1,1,1,0,1,1,y
209,0,1,0,1,1,0,1,1,1,1,1,y
210,0,1,1,1,0,1,1,0,1,0,1,y
211,1,1,1,0,0,1,0,1,1,0,0,y
212,1,0,0,1,1,0,1,0,0,0,0,n
213,0,1,0,0,1,0,1,0,0,0,1,n
214,0,0,0,0,0,0,0,0,0,0,0,n
215,1,0,1,1,1,1,1,1,0,1,1,y
216,0,0,1,0,0,0,0,0,0,0,0,n
217,0,0,0,1,0,1,1,0,1,0,0,n
218,1,1,0,1,1,0,0,0,1,1,0,y
219,0,0,0,1,0,0,0,0,0,0,0,n
220,1,1,0,1,1,1,0,0,0,0,0,n
221,0,0,0,0,0,0,0,0,1,0,0,n
222,0,1,1,1,1,1,1,1,1,1,1,y
223,1,1,1,0,0,1,1,1,1,0,1,y
224,1,1,1,0,0,0,0,1,0,1,1,n
225,0,0,0,0,0,0,0,0,0,0,0,n
226,1,1,1,1,1,1,1,1,1,1,1,y
227,1,0,1,0,1,1,0,1,1,0,0,y
228,0,0,0,0,0,0,0,0,0,0,0,n
229,0,0,0,0,0,0,0,0,0,0,1,n
230,0,0,1,1,1,0,1,1,1,1,1,y
231,0,0,0,1,0,0,0,0,0,1,1,n
232,1,1,1,1,1,1,1,1,0,0,1,y
233,0,0,0,0,0,0,0,0,0,0,0,n
234,0,0,0,0,0,0,0,0,0,0,0,n
235,1,1,1,1,1,1,1,1,1,1,0,y
236,1,1,1,0,1,1,1,1,1,1,1,y
237,1,1,0,0,1,1,0,1,1,0,0,y
238,0,1,0,0,0,0,0,0,0,1,1,n
239,0,0,0,0,0,0,0,0,0,0,0,n
240,0,0,0,0,0,0,0,0,0,0,0,n
241,1,1,1,1,1,1,1,1,1,0,1,y
242,1,0,1,0,0,1,1,0,1,1,0,y
243,1,0,1,0,1,0,0,0,0,0,1,n
244,1,1,1,1,1,1,1,1,1,1,1,y
245,1,1,1,0,1,1,0,1,1,1,0,y
246,1,1,1,1,1,1,0,1,1,1,1,y
247,0,1,0,0,0,0,1,0,0,1,1,n
248,0,0,1,0,0,0,1,1,1,0,1,n
249,0,0,0,0,0,0,0,0,0,0,0,n
250,0,1,1,1,0,1,1,1,1,1,0,y
251,1,1,0,1,0,1,1,1,0,1,0,y
252,0,1,1,0,0,0,0,1,1,1,1,n
253,1,1,0,0,0,1,1,1,1,1,0,y
254,0,0,1,0,0,1,0,0,0,1,0,n
255,1,0,0,0,1,0,0,0,0,0,0,n
256,0,0,0,0,0,0,1,0,0,0,0,n
257,0,0,1,1,1,1,0,1,1,1,1,y
258,0,0,0,1,0,0,0,1,0,0,0,n
259,0,1,1,0,1,1,1,1,0,1,0,y
260,0,0,0,0,1,0,1,0,0,1,0,n
261,0,0,1,1,0,0,1,0,1,0,1,n
262,1,1,1,0,1,1,1,0,0,1,0,y
263,1,1,1,1,0,0,0,1,0,1,0,y
264,0,0,0,1,0,1,0,1,0,0,1,n
265,0,1,1,1,1,1,0,0,1,1,1,y
266,0,0,1,1,0,0,1,1,1,0,0,n
267,0,1,1,0,1,1,1,0,1,1,1,y
268,1,1,1,0,0,0,0,1,1,1,0,y
269,1,1,1,1,1,1,1,1,1,1,0,y
270,1,1,1,1,1,1,0,1,1,1,1,y
271,0,0,0,1,0,0,0,0,0,0,0,n
272,1,1,0,1,1,1,1,1,1,1,1,y
273,1,1,1,1,1,1,1,0,1,0,0,y
274,0,1,1,0,0,0,0,0,1,0,0,n
275,0,0,0,0,0,0,0,0,0,1,0,n
276,0,0,0,0,0,0,0,0,0,0,0,n
277,0,0,0,0,0,0,0,0,0,0,0,n
278,0,0,1,0,1,1,1,1,1,1,1,y
279,1,1,0,1,0,0,1,1,1,0,0,y
280,0,0,1,0,1,1,0,0,0,1,0,n
281,1,1,1,1,1,1,1,0,1,1,1,y
282,0,0,0,0,0,1,1,0,0,0,0,n
283,0,1,0,0,1,0,1,0,0,0,0,n
284,0,1,1,0,0,1,1,1,0,0,1,n
285,1,1,1,0,0,1,1,1,1,1,1,y
286,1,0,1,1,1,0,1,0,0,1,1,y
287,1,1,1,1,1,0,1,1,1,1,1,y
288,1,0,0,0,1,1,1,1,0,1,0,y
289,0,0,0,0,0,0,0,1,1,0,0,n
290,1,1,1,1,1,1,1,0,0,1,1,y
291,1,1,1,1,1,1,1,0,0,1,0,y
292,1,1,1,1,1,1,1,1,0,1,0,y
293,0,0,0,0,1,1,0,0,0,0,0,n
294,1,1,1,1,1,0,1,1,1,1,1,y
295,0,1,1,0,1,0,0,0,0,0,0,n
296,1,1,0,1,1,0,0,0,0,0,1,n
297,0,0,0,0,0,0,0,0,1,0,0,n
298,0,1,0,0,1,1,0,0,1,0,1,n
299,0,0,1,0,0,0,0,0,0,0,0,n
300,0,1,1,1,0,0,0,0,0,0,0,n
301,0,1,1,0,0,1,1,1,0,1,1,y
302,1,1,1,1,1,1,0,1,1,1,1,y
303,0,0,1,0,0,1,0,1,0,1,0,n
304,1,1,0,0,1,1,1,0,0,0,1,n
305,1,1,1,1,1,1,1,1,1,1,0,y
306,1,1,0,1,0,0,1,1,1,0,1,y
307,0,0,0,0,1,0,0,0,1,0,1,n
308,1,1,1,1,1,1,1,1,1,0,0,y
309,1,1,1,1,1,1,1,1,1,0,1,y
310,1,1,1,1,1,1,0,0,1,0,1,y
311,1,1,1,1,1,1,1,1,1,1,1,y
312,1,0,0,0,0,0,1,0,0,0,0,n
313,1,1,0,0,1,0,0,0,1,0,0,n
314,0,0,0,0,0,0,0,0,0,0,0,n
315,0,0,0,0,0,0,0,0,1,1,0,n
316,0,0,0,0,0,0,0,0,0,0,0,n
317,0,1,1,0,0,0,0,0,0,0,0,n
318,1,1,1,0,1,1,0,1,0,0,1,y
319,1,1,1,0,1,1,1,1,1,1,1,y
320,0,1,1,1,1,0,1,1,1,1,0,y
321,1,1,1,1,1,1,1,1,1,1,1,y
322,1,0,1,1,1,1,0,1,0,1,1,y
323,0,0,0,0,0,0,0,0,0,0,0,n
324,1,0,1,1,0,1,1,1,1,1,1,y
325,1,1,1,1,1,1,1,1,1,1,1,y
326,1,1,1,1,1,1,0,1,1,1,1,y
327,0,0,0,1,1,0,0,1,1,0,0,n
328,1,0,1,1,1,1,1,1,1,0,1,y
329,0,0,1,1,1,1,1,0,1,1,1,y
330,1,1,1,1,1,1,0,1,1,1,1,y
331,0,0,0,1,1,1,1,1,0,1,1,y
332,1,1,1,0,1,1,1,1,1,1,1,y
333,1,1,1,1,1,1,1,1,1,1,1,y
334,0,1,1,1,1,0,1,1,1,0,0,y
335,1,1,1,0,1,0,0,0,1,0,1,n
336,0,0,0,0,0,0,0,0,0,0,0,n
337,1,0,1,1,0,1,0,1,1,0,0,y
338,0,1,1,1,0,1,1,1,0,1,0,y
339,1,1,1,0,0,1,0,0,0,0,0,n
340,1,0,1,1,0,1,0,1,1,0,1,y
341,1,1,0,1,1,1,1,1,1,1,1,y
342,0,0,0,0,0,1,1,0,0,0,1,n
343,1,1,1,1,1,1,1,1,1,1,1,y
344,0,0,0,0,0,0,1,0,0,0,0,n
345,0,1,0,0,0,0,1,0,1,0,0,n
346,0,0,1,0,0,0,0,0,1,0,1,n
347,1,1,1,0,0,0,0,0,0,0,1,n
348,0,0,0,1,1,0,0,0,0,0,1,n
349,0,0,0,1,0,0,0,0,0,0,0,n
350,1,0,1,0,0,0,0,0,0,0,0,n
351,1,1,1,0,1,1,1,1,1,1,1,y
352,0,0,0,1,0,0,0,1,0,0,0,n
353,0,0,0,0,0,0,0,0,0,0,0,n
354,0,0,1,0,0,0,0,0,0,0,1,n
355,1,1,0,0,1,1,1,0,1,0,1,y
356,0,0,0,0,0,1,0,0,0,0,0,n
357,1,1,1,1,1,1,1,1,1,1,1,y
358,1,1,1,0,1,1,0,1,1,1,0,y
359,1,1,1,1,1,1,1,1,1,1,1,y
360,0,1,1,1,0,1,1,1,1,1,1,y
361,1,1,1,1,1,1,0,0,1,1,1,y
362,0,0,0,0,0,0,0,0,0,0,0,n
363,1,1,1,1,1,1,1,0,0,1,1,y
364,1,1,0,0,1,0,0,1,0,0,0,n
365,1,1,1,1,1,1,1,1,1,1,1,y
366,1,0,0,1,0,0,1,1,0,0,1,n
367,1,0,1,1,1,0,0,0,0,0,0,n
368,1,0,0,0,0,1,0,1,1,1,0,n
369,1,1,1,1,1,1,1,1,1,1,1,y
370,0,1,0,0,1,0,0,0,1,1,0,n
371,1,1,0,1,0,0,0,1,0,1,0,n
372,0,1,0,1,1,1,1,1,1,1,1,y
373,0,1,0,1,0,0,0,1,1,1,0,n
374,0,1,0,1,0,0,0,1,0,1,0,n
375,0,0,1,1,0,1,1,0,1,0,0,n
376,1,1,1,1,1,1,1,1,1,0,1,y
377,0,0,0,1,1,0,1,0,0,0,0,n
378,0,0,0,1,1,0,1,1,0,1,0,n
379,0,1,1,1,1,1,1,1,1,0,1,y
380,1,0,0,0,1,1,1,0,0,0,0,n
381,1,0,0,1,1,1,1,0,1,1,1,y
382,1,0,1,1,1,1,1,0,0,1,1,y
383,0,0,0,0,0,0,0,0,0,0,1,n
384,1,0,1,0,0,0,0,0,1,0,0,n
385,0,1,1,1,0,1,1,0,0,1,0,y
386,0,0,0,0,0,0,0,0,0,1,0,n
387,0,0,0,0,0,0,0,0,0,0,0,n
388,0,0,0,0,1,0,0,1,1,0,1,n
389,0,1,0,0,0,0,0,0,0,0,0,n
390,0,0,0,1,1,0,1,0,0,1,0,n
391,0,0,0,0,0,0,1,0,0,0,0,n
392,1,0,0,1,0,0,0,1,0,1,1,n
393,1,0,0,0,1,0,0,1,1,1,0,n
394,0,0,0,0,1,1,1,1,0,1,1,n
395,1,1,1,1,0,0,1,1,1,0,1,y
396,0,1,1,1,0,0,0,1,0,1,1,n
397,1,0,0,0,1,0,1,1,1,0,1,n
398,1,0,1,1,0,0,1,0,0,1,1,n
399,1,1,1,1,0,0,0,0,0,1,0,n
400,1,1,1,1,1,1,1,1,1,1,1,y
401,1,0,0,1,1,1,1,0,0,0,0,n
402,0,0,0,0,0,0,1,0,0,0,1,n
403,1,1,1,1,1,1,0,1,1,1,1,y
404,1,1,1,1,1,1,1,0,1,1,1,y
405,0,1,1,1,0,1,1,1,0,0,1,y
406,1,1,1,1,1,1,1,1,1,1,0,y
407,1,1,1,1,1,1,0,1,0,1,0,y
408,0,0,0,0,0,0,0,0,0,0,0,n
409,1,0,0,0,0,0,1,0,0,0,0,n
410,1,0,0,1,0,0,1,1,0,1,0,n
411,1,1,1,1,1,1,1,0,1,1,1,y
412,0,1,0,1,1,1,1,1,1,1,0,y
413,1,1,1,1,1,0,1,0,1,1,0,y
414,0,0,0,0,0,0,0,0,0,0,0,n
415,0,0,0,0,0,1,1,0,0,0,0,n
416,1,1,1,0,1,1,0,1,1,1,1,y
417,0,0,0,0,0,0,0,0,0,1,0,n
418,1,0,1,1,1,1,0,1,1,1,0,y
419,1,1,1,1,0,1,1,1,1,1,0,y
420,1,0,0,0,0,0,0,1,0,0,0,n
421,0,0,1,0,1,0,0,0,0,1,0,n
422,0,0,1,0,0,0,1,0,1,1,1,n
423,0,0,1,0,1,0,1,1,0,1,1,n
424,1,0,1,0,1,1,1,0,0,1,0,y
425,1,0,1,1,0,0,1,0,1,1,1,y
426,0,0,0,0,0,0,1,0,0,0,0,n
427,1,1,1,0,1,0,1,1,0,1,1,y
428,1,0,0,0,1,0,1,1,0,1,1,n
429,0,0,0,1,1,1,0,1,1,1,0,y
430,1,0,0,0,1,0,0,0,0,0,0,n
431,1,1,1,1,1,1,1,1,1,1,1,y
432,0,0,0,0,0,0,0,0,1,0,0,n
433,1,0,0,0,0,0,1,0,1,1,0,n
434,1,0,0,0,0,0,0,1,0,0,1,n
435,1,1,1,1,0,1,0,1,1,1,1,y
436,1,0,1,1,1,1,1,0,0,1,1,y
437,1,0,1,0,0,0,0,0,1,0,0,n
438,0,1,0,1,0,0,0,0,0,0,0,n
439,1,0,1,1,0,1,0,0,1,1,0,y
440,0,0,0,0,0,0,0,1,0,0,1,n
441,1,0,1,0,1,0,1,1,0,0,0,n
442,0,0,0,0,0,0,0,0,0,0,0,n
443,0,0,0,0,0,0,0,0,1,1,1,n
444,0,0,0,0,0,0,1,0,0,0,0,n
445,0,0,0,0,0,0,0,0,0,0,0,n
446,1,1,1,0,1,0,1,1,1,1,1,y
447,0,1,1,0,1,1,1,1,1,0,0,y
448,0,0,0,0,0,0,0,0,0,0,0,n
449,0,1,0,1,1,1,1,0,1,1,1,y
450,1,0,1,1,0,0,0,1,1,1,1,y
451,1,1,0,0,0,0,1,1,1,0,0,n
452,1,1,1,1,1,1,1,1,0,1,1,y
453,1,1,0,1,0,1,1,1,0,1,1,y
454,1,0,1,1,1,0,0,0,1,0,1,n
455,1,1,1,1,1,1,1,1,1,1,1,y
456,1,0,0,0,1,0,0,0,1,0,0,n
457,0,0,1,0,0,0,0,0,0,1,0,n
458,0,0,1,1,0,1,1,1,1,1,1,y
459,0,0,0,0,0,0,0,0,0,0,0,n
460,1,1,1,1,1,1,1,1,1,1,1,y
461,1,1,1,0,1,1,1,1,1,1,1,y
462,1,1,1,0,1,1,0,1,1,1,0,y
463,1,1,1,1,1,1,0,1,1,1,1,y
464,1,1,1,1,1,1,0,1,0,1,1,y
465,0,1,0,0,0,1,0,1,0,0,0,n
466,1,1,1,1,1,1,0,1,1,1,1,y
467,1,0,0,0,0,1,1,1,1,0,1,n
468,0,0,0,0,0,0,0,0,0,0,0,n
469,0,0,0,0,0,0,0,0,1,0,0,n
470,0,0,0,0,0,0,0,0,0,0,0,n
471,1,1,1,1,1,1,1,1,1,1,1,y
472,0,0,0,0,1,0,0,0,0,0,0,n
473,1,1,0,1,1,1,1,1,1,0,1,y
474,1,1,1,0,1,1,0,0,1,1,1,y
475,0,1,0,0,0,0,0,0,0,0,0,n
476,0,0,0,0,0,0,0,0,0,0,0,n
477,0,0,0,0,0,0,0,0,0,0,0,n
478,1,1,1,0,1,0,1,1,1,0,1,y
479,1,1,1,1,1,1,1,0,1,1,1,y
480,0,1,0,1,1,1,1,1,1,1,1,y
481,0,0,0,0,1,0,1,0,0,1,1,n
482,1,0,1,1,0,1,1,1,1,1,1,y
483,1,1,1,1,1,1,1,1,1,1,0,y
484,0,1,1,1,0,0,1,1,0,1,1,y
485,1,1,1,1,1,1,1,1,1,1,1,y
486,0,0,1,1,0,1,0,0,1,0,0,n
487,1,0,1,1,1,1,1,1,1,1,1,y
488,0,0,0,0,0,0,0,1,0,0,0,n
489,0,0,0,0,0,0,0,0,0,0,0,n
490,1,1,1,1,0,1,1,1,1,1,1,y
491,0,0,0,0,0,0,0,0,0,0,0,n
492,1,1,1,1,1,1,1,1,1,1,1,y
493,0,0,1,1,1,0,1,1,1,0,0,y
494,0,0,0,0,0,0,0,1,0,0,0,n
495,0,0,1,0,0,0,1,0,1,0,1,n
496,0,0,0,0,0,0,0,0,0,0,0,n
497,0,1,0,0,0,0,0,0,1,0,1,n
498,0,0,1,0,1,0,0,0,1,0,1,n
499,0,0,0,0,0,0,0,0,1,1,0,n
500,1,1,0,1,1,0,0,0,0,1,1,n
501,1,1,0,1,1,1,1,1,1,1,1,y
502,1,1,1,0,1,1,0,1,1,1,0,y
503,0,1,0,0,0,0,0,0,1,0,1,n
504,1,0,1,0,1,1,1,1,1,1,1,y
505,1,0,0,0,0,0,1,0,1,0,0,n
506,1,1,0,0,0,1,0,1,0,0,1,n
507,1,1,1,1,1,1,1,1,1,1,1,y
508,1,1,0,0,0,1,0,0,1,0,1,n
509,0,0,0,0,0,0,0,1,0,0,0,n
510,0,0,0,0,0,1,0,1,1,0,1,n
511,0,0,1,0,0,0,0,0,0,0,0,n
512,0,0,0,0,0,0,0,1,1,0,1,n
513,1,0,1,1,0,1,1,0,1,0,1,y
514,0,0,0,0,0,1,0,0,1,0,0,n
515,1,0,0,0,1,0,1,0,1,0,1,n
516,1,1,1,0,1,1,1,0,1,1,1,y
517,0,0,0,1,0,0,0,0,0,0,0,n
518,1,1,0,1,1,1,1,1,0,1,1,y
519,0,1,1,1,1,1,1,1,1,1,1,y
520,1,1,1,0,0,1,1,1,1,0,1,y
521,1,1,1,1,0,1,1,0,1,0,1,y
522,0,0,0,0,0,0,0,0,0,0,0,n
523,1,0,1,0,0,1,0,0,1,1,0,n
524,0,1,0,0,0,0,1,0,1,1,1,n
525,1,1,1,1,0,1,0,1,1,1,1,y
526,1,0,0,0,0,0,1,1,0,1,1,n
527,1,0,0,0,0,0,0,0,1,1,1,n
528,1,1,1,1,0,1,1,1,1,1,1,y
529,1,1,1,1,1,1,1,1,1,1,1,y
530,0,0,1,1,0,0,0,0,0,1,0,n
531,1,1,1,0,1,0,0,0,1,1,1,y
532,1,0,1,1,1,1,1,1,1,1,1,y
533,0,0,0,1,0,0,0,0,1,0,1,n
534,0,0,0,0,0,0,0,0,0,0,0,n
535,1,0,0,1,0,1,1,0,1,1,1,y
